Depth,Salinity,pH,Chlorophyl
4,33.64,5.953,0.0239
10,33.65,6.061,0.0299
20,33.66,6.392,0.187
6,33.84,5.99,0.0239
30,33.66,7.148,0.541
8,33.57,6.028,0.0256
50,33.67,7.552,0.548
12,33.6,6.092,0.0341
14,33.73,6.137,0.0401
16,33.4,6.195,0.0623
18,33.63,6.26,0.111
149,33.72,8.117,0.0128
159,33.72,8.159,0.00938
22,33.74,6.607,0.245
24,33.9,6.832,0.423
26,33.74,6.975,0.51
28,33.91,7.083,0.576
32,33.74,7.206,0.569
34,33.7,7.254,0.8
36,33.74,7.303,0.638
38,33.51,7.344,0.579
40,33.74,7.376,0.561
42,33.74,7.401,0.547
44,33.74,7.435,0.619
46,33.74,7.479,0.757
48,33.74,7.523,0.542
52,33.74,7.564,0.515
54,33.74,7.582,0.619
56,33.75,7.6,0.445
360,34.4,8.964,0.00682
74,33.83,7.755,0.204
133,33.69,8.031,0.0256
153,33.71,8.134,0.00767
396,34.06,9.081,0.00767
495,34.17,9.354,0.00511
535,34.17,9.444,0.00767
143,33.97,8.093,0.0213
121,33.63,7.979,0.0282
123,33.89,7.985,0.0324
131,33.81,8.023,0.0273
370,34.4,8.994,0.00597
135,33.99,8.043,0.0222
137,33.81,8.057,0.023
139,33.9,8.07,0.0239
141,33.78,8.083,0.0171
145,33.94,8.1,0.0137
147,33.94,8.108,0.0102
151,33.61,8.126,0.00682
155,33.93,8.143,0.00853
157,33.86,8.151,0.00682
161,33.87,8.166,0.00597
163,33.79,8.174,0.00511
165,33.86,8.186,0.00597
167,33.96,8.197,0.00511
169,33.93,8.205,0.00511
384,34.04,9.037,0.00597
249,34.67,8.556,0.00255
251,34.7,8.562,0.00426
253,34.08,8.57,0.00511
372,34.42,8.997,0.00597
255,34.13,8.58,0.0034
394,34.49,9.074,0.00682
257,34.21,8.59,0.00426
259,34.19,8.598,0.00426
261,34.09,8.606,0.0034
608,34.62,9.605,0.00767
263,33.89,8.61,0.0034
265,34.33,8.619,0.00511
267,34.04,8.627,0.00767
269,34.29,8.63,0.0034
271,34.07,8.636,0.00511
273,34.2,8.642,0.00511
501,34.25,9.372,0.0111
402,34.05,9.099,0.00597
338,34.68,8.891,0.00853
340,34.39,8.899,0.00767
342,34.15,8.907,0.00682
344,34.24,8.913,0.00767
346,34.7,8.92,0.00682
348,34.7,8.926,0.00255
350,34.7,8.932,0.00853
352,33.98,8.938,0.00682
354,34.2,8.944,0.00767
356,34.22,8.951,0.00597
358,34.16,8.957,0.00767
362,34.29,8.971,0.00767
364,34.22,8.977,0.00682
366,34.18,8.983,0.00682
368,34.33,8.989,0.00767
374,34.45,8.999,0.00682
376,34.02,9.005,0.00682
378,34.25,9.015,0.00767
380,34.07,9.023,0.00597
382,34.35,9.029,0.00682
386,34.42,9.047,0.00767
388,34.21,9.052,0.00597
390,34.14,9.059,0.00767
392,34.33,9.066,0.00682
398,34.42,9.089,0.00682
400,34.07,9.094,0.00682
