WTMP(degC),Date
16.8,2019-07-02
16.7,2019-07-03
20.3,2019-07-06
14.8,2019-07-07
15.6,2019-07-08
17.8,2019-07-10
18,2019-07-11
18,2019-07-12
18.2,2019-07-13
19.8,2019-07-15
20.7,2019-07-16
21.6,2019-07-18
20.4,2019-07-19
20.4,2019-07-20
19.8,2019-07-21
20.4,2019-07-22
20,2019-07-23
20.2,2019-07-24
20.1,2019-07-25
20.9,2019-07-26
21,2019-07-27
20.8,2019-07-28
21.5,2019-07-29
21.4,2019-07-30
21.2,2019-07-31
21.6,2019-08-01
22,2019-08-02
22.5,2019-08-03
21.8,2019-08-04
22.6,2019-08-05
22.8,2019-08-06
23.3,2019-08-07
23.2,2019-08-08
23.1,2019-08-09
22.1,2019-08-10
23.2,2019-08-11
23,2019-08-13
23.1,2019-08-14
22.7,2019-08-15
22.6,2019-08-16
22.8,2019-08-17
22.9,2019-08-18
23,2019-08-19
23.2,2019-08-20
23,2019-08-21
23.3,2019-08-22
23,2019-08-23
22.7,2019-08-24
22.4,2019-08-25
22.2,2019-08-26
21.6,2019-08-27
21.9,2019-08-28
21.5,2019-08-29
21.5,2019-08-30
21.4,2019-08-31
21.1,2019-09-01
20.9,2019-09-02
21,2019-09-03
21,2019-09-04
20.8,2019-09-05
20.9,2019-09-06
19.9,2019-09-07
20,2019-09-08
20,2019-09-09
19.9,2019-09-10
20.5,2019-09-11
20.4,2019-09-12
20.2,2019-09-13
20.2,2019-09-14
19.8,2019-09-15
19.5,2019-09-16
19.8,2019-09-17
19.8,2019-09-18
20.1,2019-09-19
20.5,2019-09-21
20.3,2019-09-22
20.3,2019-09-23
20.1,2019-09-24
20.2,2019-09-25
19.9,2019-09-26
19.7,2019-09-27
19.3,2019-09-28
19.1,2019-09-29
18.5,2019-09-30
17.6,2019-10-01
19,2019-10-02
